code	codevn	libelle	type	
1	D3_1	Non pâturé	HAB_CAT2	(pr_vigienature.fct_get_nomenclature_type('HAB_CAT2'),'1','D3_1','Non pâturé'),
2	D3_2	Pâturé	HAB_CAT2	(pr_vigienature.fct_get_nomenclature_type('HAB_CAT2'),'2','D3_2','Pâturé'),
3	D3_3	Céréales	HAB_CAT2	(pr_vigienature.fct_get_nomenclature_type('HAB_CAT2'),'3','D3_3','Céréales'),
4	D3_4	Maïs	HAB_CAT2	(pr_vigienature.fct_get_nomenclature_type('HAB_CAT2'),'4','D3_4','Maïs'),
5	D3_5	Tournesol	HAB_CAT2	(pr_vigienature.fct_get_nomenclature_type('HAB_CAT2'),'5','D3_5','Tournesol'),
6	D3_6	Colza	HAB_CAT2	(pr_vigienature.fct_get_nomenclature_type('HAB_CAT2'),'6','D3_6','Colza'),
7	D3_7	Cultures à racines	HAB_CAT2	(pr_vigienature.fct_get_nomenclature_type('HAB_CAT2'),'7','D3_7','Cultures à racines'),
8	D3_8	Sol nu	HAB_CAT2	(pr_vigienature.fct_get_nomenclature_type('HAB_CAT2'),'8','D3_8','Sol nu'),
9	D3_9	Autres cultures	HAB_CAT2	(pr_vigienature.fct_get_nomenclature_type('HAB_CAT2'),'9','D3_9','Autres cultures'),
10	D3_10	Rizières	HAB_CAT2	(pr_vigienature.fct_get_nomenclature_type('HAB_CAT2'),'10','D3_10','Rizières'),
1	E3_1	Industriel	HAB_CAT2	(pr_vigienature.fct_get_nomenclature_type('HAB_CAT2'),'1','E3_1','Industriel'),
2	E3_2	Résidentiel	HAB_CAT2	(pr_vigienature.fct_get_nomenclature_type('HAB_CAT2'),'2','E3_2','Résidentiel'),
3	E3_3	Beaucoup d’arbres	HAB_CAT2	(pr_vigienature.fct_get_nomenclature_type('HAB_CAT2'),'3','E3_3','Beaucoup d’arbres'),
4	E3_4	Peu d’arbres	HAB_CAT2	(pr_vigienature.fct_get_nomenclature_type('HAB_CAT2'),'4','E3_4','Peu d’arbres'),
5	E3_5	Grande surface de jardins (> 450m2)	HAB_CAT2	(pr_vigienature.fct_get_nomenclature_type('HAB_CAT2'),'5','E3_5','Grande surface de jardins (> 450m2)'),
6	E3_6	Moyenne surface de jardins (100 - 450 m2)	HAB_CAT2	(pr_vigienature.fct_get_nomenclature_type('HAB_CAT2'),'6','E3_6','Moyenne surface de jardins (100 - 450 m2)'),
7	E3_7	Faible surface de jardins (< 100 m2)	HAB_CAT2	(pr_vigienature.fct_get_nomenclature_type('HAB_CAT2'),'7','E3_7','Faible surface de jardins (< 100 m2)'),
1	F3_1	Eutrophique (eau verte)	HAB_CAT2	(pr_vigienature.fct_get_nomenclature_type('HAB_CAT2'),'1','F3_1','Eutrophique (eau verte)'),
2	F3_2	Oligotrophique	HAB_CAT2	(pr_vigienature.fct_get_nomenclature_type('HAB_CAT2'),'2','F3_2','Oligotrophique'),
4	F3_4	Bigarré	HAB_CAT2	(pr_vigienature.fct_get_nomenclature_type('HAB_CAT2'),'4','F3_4','Bigarré'),
5	F3_5	Courant faible / moyen	HAB_CAT2	(pr_vigienature.fct_get_nomenclature_type('HAB_CAT2'),'5','F3_5','Courant faible / moyen'),
7	F3_7	Dragué	HAB_CAT2	(pr_vigienature.fct_get_nomenclature_type('HAB_CAT2'),'7','F3_7','Dragué'),
8	F3_8	Non dragué	HAB_CAT2	(pr_vigienature.fct_get_nomenclature_type('HAB_CAT2'),'8','F3_8','Non dragué'),
9	F3_9	Rives nues	HAB_CAT2	(pr_vigienature.fct_get_nomenclature_type('HAB_CAT2'),'9','F3_9','Rives nues'),
10	F3_10	Rives avec végétation	HAB_CAT2	(pr_vigienature.fct_get_nomenclature_type('HAB_CAT2'),'10','F3_10','Rives avec végétation'),
1	G3_1	Roche nue	HAB_CAT2	(pr_vigienature.fct_get_nomenclature_type('HAB_CAT2'),'1','G3_1','Roche nue'),
2	G3_2	Végétation basse présente	HAB_CAT2	(pr_vigienature.fct_get_nomenclature_type('HAB_CAT2'),'2','G3_2','Végétation basse présente'),
3	G3_3	Graminées présentes	HAB_CAT2	(pr_vigienature.fct_get_nomenclature_type('HAB_CAT2'),'3','G3_3','Graminées présentes'),
4	G3_4	Buissons présents	HAB_CAT2	(pr_vigienature.fct_get_nomenclature_type('HAB_CAT2'),'4','G3_4','Buissons présents'),
D	LESS25	< 25m	DISTANCE	(pr_vigienature.fct_get_nomenclature_type('DISTANCE'),'D','LESS25','< 25m'),
V	TRANSIT	En vol	DISTANCE	(pr_vigienature.fct_get_nomenclature_type('DISTANCE'),'V','TRANSIT','En vol'),
L	LESS200	100-200m	DISTANCE	(pr_vigienature.fct_get_nomenclature_type('DISTANCE'),'L','LESS200','100-200m'),
M	MORE200	> 200m	DISTANCE	(pr_vigienature.fct_get_nomenclature_type('DISTANCE'),'M','MORE200','> 200m'),
F	LESS100	25-100m	DISTANCE	(pr_vigienature.fct_get_nomenclature_type('DISTANCE'),'F','LESS100','25-100m'),
1	NO_RAIN	Absente	RAIN	(pr_vigienature.fct_get_nomenclature_type('RAIN'),'1','NO_RAIN','Absente'),
2	SMALL_RAIN	Bruine	RAIN	(pr_vigienature.fct_get_nomenclature_type('RAIN'),'2','SMALL_RAIN','Bruine'),
3	STRONG_RAIN	Averses	RAIN	(pr_vigienature.fct_get_nomenclature_type('RAIN'),'3','STRONG_RAIN','Averses'),
1	NO_WIND	Absent	WIND	(pr_vigienature.fct_get_nomenclature_type('WIND'),'1','NO_WIND','Absent'),
2	TWO_THIRD	33-66 %	CLOUD	(pr_vigienature.fct_get_nomenclature_type('CLOUD'),'2','TWO_THIRD','33-66 %'),
1	ONE_THIRD	0-33 %	CLOUD	(pr_vigienature.fct_get_nomenclature_type('CLOUD'),'1','ONE_THIRD','0-33 %'),
3	THREE_THIRD	66-100 %	CLOUD	(pr_vigienature.fct_get_nomenclature_type('CLOUD'),'3','THREE_THIRD','66-100 %'),
3	MIDDLE_STRONG_WIND	Moyen à fort	WIND	(pr_vigienature.fct_get_nomenclature_type('WIND'),'3','MIDDLE_STRONG_WIND','Moyen à fort'),
2	WEAK_WIND	Faible	WIND	(pr_vigienature.fct_get_nomenclature_type('WIND'),'2','WEAK_WIND','Faible'),
1	GOOD_VISIBILITY	Bonne	VISIBILITY	(pr_vigienature.fct_get_nomenclature_type('VISIBILITY'),'1','GOOD_VISIBILITY','Bonne'),
3	BAD_VISIBILITY	Faible	VISIBILITY	(pr_vigienature.fct_get_nomenclature_type('VISIBILITY'),'3','BAD_VISIBILITY','Faible'),
2	MODERATE_VISIBILITY	Modérée	VISIBILITY	(pr_vigienature.fct_get_nomenclature_type('VISIBILITY'),'2','MODERATE_VISIBILITY','Modérée'),
